std_name,name,type,note
Nho Que 2,Nho Quế 2,Plant,
Nho Que 3,Nho Quế 3,Plant,
Nhon Trach 1,Nhơn Trạch 1,Plant,
Nhon Trach 2,Nhơn Trạch 2,Plant,
"Nhon Trach 3,4","Nhơn Trạch 3,4",Plant,
O Mon 2,Ô Môn 2,Plant,
O Mon 3,Ô Môn 3,Plant,
O Mon 4,Ô Môn 4,Plant,
O Mon 2,Ô Môn II,Plant,
O Mon 3,Ô Môn III,Plant,
O Mon 4,Ô Môn IV,Plant,
Pac Ma,Pắc Ma,Plant,
Pha Lai 1,Phả Lại 1,Plant,
Pha Lai 2,Phả Lại 2,Plant,
Phu My 1,Phú Mỹ 1,Plant,
Phu My 2.1,Phú Mỹ 2.1,Plant,
Phu My 2.2,Phú Mỹ 2.2,Plant,
Phu My 3,Phú Mỹ 3,Plant,
Phu My 4,Phú Mỹ 4,Plant,
Pleikrong,Pleikrông,Plant,
Quang Ninh,Quảng Ninh,Plant,
Quang Ninh 3,Quảng Ninh 3,Plant,
Quang Ninh 3,Quảng Ninh III #1,Plant,Unit 1
Quang Ninh 3,Quảng Ninh III #2,Plant,Unit 2
Quang Trach 1,Quảng Trạch 1,Plant,
Quang Trach 2,Quảng Trạch 2,Plant,
Quang Trach 1,Quảng Trạch I #1,Plant,Unit 1
Quang Trach 1,Quảng Trạch I #2,Plant,Unit 2
Quang Trach 2,Quảng Trạch II #1,Plant,Unit 1
Quang Trach 2,Quảng Trạch II #2,Plant,Unit 2
Quang Tri,Quảng Trị,Plant,
Quang Tri,Quảng Trị #1,Plant,Unit 1
Quang Tri,Quảng Trị #2,Plant,Unit 2
Quang Tri 1,Quảng Trị 1,Plant,
Quynh Lap 1,Quỳnh Lập 1,Plant,
Quynh Lap 2,Quỳnh Lập 2,Plant,
Quynh Lap 1,Quỳnh Lập I #1,Plant,Unit 1
Quynh Lap 1,Quỳnh Lập I #2,Plant,Unit 2
Quynh Lap 2,Quỳnh Lập II #1,Plant,Unit 1
Quynh Lap 2,Quỳnh Lập II #2,Plant,Unit 2
Se San 3,Sê San 3,Plant,
Se San 3A,Sê San 3A,Plant,
Se San 4,Sê San 4,Plant,
Se San 4A,Sê San 4A,Plant,
Sekaman 1,Sêkaman 1 (Lào),Plant,
Sekaman 4,Sêkaman 4 (Lào),Plant,
Sekaman Xanxay,Sêkaman Xanxay (Lào),Plant,
KCP,KCP #1,Plant,Unit 1
KCP,KCP #2,Plant,Unit 2
Lee and Man,Lee&Man,Plant,
Son Dong,Sơn Động,Plant,
Son La,Sơn La,Plant,
Son My,Sơn Mỹ,Plant,
Son My 2,Sơn Mỹ 2,Plant,
Son My 1,Sơn Mỹ I #1,Plant,Unit 1
Son My 1,Sơn Mỹ I #2,Plant,Unit 2
Son My 1,Sơn Mỹ I #3,Plant,Unit 3
Son My 2,Sơn Mỹ II #1,Plant,Unit 1
Son My 2,Sơn Mỹ II #2,Plant,Unit 2
Son My 2,Sơn Mỹ II #3,Plant,Unit 3
Song Ba Ha,Sông Ba Hạ,Plant,
Song Bac,Sông Bạc,Plant,
Song Bung 2,Sông Bung 2,Plant,
Song Bung 4,Sông Bung 4,Plant,
Song Bung 4A,Sông Bung 4A,Plant,
Song Bung 5,Sông Bung 5,Plant,
Song Con 2,Sông Côn 2,Plant,
Song Giang 2,Sông Giang 2,Plant,
Song Hau 1,Sông Hậu 1,Plant,
Song Hau 2,Sông Hậu 2,Plant,
Song Hau 1,"Sông Hậu I #1,2",Plant,Unit 1 & 2
Song Hau 2,Sông Hậu II #1,Plant,Unit 1
Song Hau 2,Sông Hậu II #2,Plant,Unit 2
Song Hinh,Sông Hinh,Plant,
Song Lo 6,Sông Lô 6,Plant,
Song Mien 4,Sông Miện 4,Plant,
Song Tranh 2,Sông Tranh 2,Plant,
Song Tranh 3,Sông Tranh 3,Plant,
Song Tranh 4,Sông Tranh 4,Plant,
Srepok 3,Srêpok 3,Plant,
Srepok 4,Srêpok 4,Plant,
Srepok 4A,Srêpok 4A,Plant,
Srok Phu Mieng,Srok Phu Miêng,Plant,
Su Pan 2,Sử Pán 2,Plant,
Ta Thang,Tà Thàng,Plant,
Tan Phuoc 1,Tân Phước 1,Plant,
Tan Phuoc 2,Tân Phước 2,Plant,
Tan Phuoc 1,Tân Phước I #1,Plant,Unit 1
Tan Phuoc 1,Tân Phước I #2,Plant,Unit 2
Tan Phuoc 2,Tân Phước II #1 (*),Plant,Unit 1
Tan Phuoc 2,Tân Phước II #2 (*),Plant,Unit 2
Thac Ba,Thác Bà,Plant,
Thac Mo,Thác Mơ,Plant,
Thac Mo Extension,Thác Mơ mở rộng,Plant,
Thac Mo Extension,Thác Mơ MR,Plant,
Thai An,Thái An,Plant,
Thai Binh 1,Thái Bình 1,Plant,
Thai Binh 2,Thái Bình 2,Plant,
Thai Binh 1,"Thái Bình I #1,2",Plant,Unit 1 & 2
Thai Binh 2,Thái Bình II #1,Plant,Unit 1
Thai Binh 2,Thái Bình II #2,Plant,Unit 2
Ve Dan,Vê Đan,Plant,
Thang Long,Thăng Long,Plant,
Thang Long,Thăng Long #1,Plant,Unit 1
Thang Long,Thăng Long #2,Plant,Unit 2
Thuan Hoa,Thuận Hòa,Plant,
Thuong KonTum,Thượng KonTum,Plant,
Thuong KonTum,"Thượng KonTum #1,2",Plant,Unit 1 & 2
Bac Ai,"Bác Ái #1,2",Plant,Unit 1 & 2
Bac Ai,"Bác Ái #3,4",Plant,Unit 3 & 4
Don Duong,Đồn Dương #1,Plant,Unit 1
Dong Phu Yen,Đồng Phù Yên #1,Plant,Unit 1
Dong Phu Yen,Đồng Phù Yên #2,Plant,Unit 2
Dong Phu Yen,Đồng Phù Yên #3,Plant,Unit 3
Tra Khuc 1,Trà Khúc 1,Plant,
Tri An,Trị An,Plant,
Tri An Extension,Trị An mở rộng,Plant,
Tri An Extension,Trị An MR,Plant,
Trung Son,Trung Sơn,Plant,
Trung Son,"Trung Sơn #1,2",Plant,Unit 1 & 2
Trung Son,"Trung Sơn #3,4",Plant,Unit 3 & 4
Tuyen Quang,Tuyên Quang,Plant,
Uong Bi Extension,Uông Bí MR,Plant,
Uong Bi,Uông Bí ngừng phát điên,Plant,
Van Chan,Văn Chấn,Plant,
Van Phong 1,Vân Phong 1,Plant,
Van Phong 1,Vân Phong I #1,Plant,Unit 1
Van Phong 1,Vân Phong I #2,Plant,Unit 2
Vinh Son,Vĩnh Sơn,Plant,
Vinh Tan 1,Vĩnh Tân 1,Plant,
Vinh Tan 2,Vĩnh Tân 2,Plant,
Vinh Tan 3,Vĩnh Tân 3,Plant,
Vinh Tan 4,Vĩnh Tân 4,Plant,
Vinh Tan 4 Extension,Vĩnh Tân 4 MR,Plant,
Vinh Tan 1,"Vĩnh Tân I #1,2",Plant,Unit 1 & 2
Vinh Tan 3,Vĩnh Tân III #1,Plant,Unit 1
Vinh Tan 3,"Vĩnh Tân III #2,3",Plant,Unit 2 & 3
Vinh Tan 4,"Vĩnh Tân IV #1,2",Plant,Unit 1 & 2
Vinh Tan 4 Extension,Vĩnh Tân IV mở rộng,Plant,
Vung Ang 1,Vũng Áng 1,Plant,
Vung Ang 2,Vũng Áng 2,Plant,
Vung Ang 3,Vũng Áng 3,Plant,
Vung Ang 2,Vũng Áng II #1,Plant,Unit 1
Vung Ang 2,Vũng Áng II #2,Plant,Unit 2
Vung Ang 3,Vũng Áng III #1,Plant,Unit 1
Vung Ang 3,Vũng Áng III #2,Plant,Unit 2
Vung Ang 3,Vũng Áng III #3 (*),Plant,Unit 3
Vung Ang 3,Vũng Áng III #4 (*),Plant,Unit 4
Yen Son,Yên Sơn,Plant,
Hydro,Thủy điện,Fuel,
Coal,NĐ Than,Fuel,Coal-fueled thermal
Gas,Tuabin khí,Fuel,
Nuclear,Điện hạt nhân,Fuel,
Wind,Điện gió,Fuel,
Solar,Điện mặt trời,Fuel,
Biomass,Điện sinh khối,Fuel,
Coal,NĐ,Fuel,
Hydro,TĐ,Fuel,
Gas,NĐ hóa dầu,Fuel,Gas-fueled thermal
Biomass,NMĐ sinh khối,Fuel,
Biomass,NĐ sinh khối,Fuel,Biomass with sugar
Coal,NĐ than,Fuel,
Gas,TBKHH,Fuel,Gas-fueled combined cycle
