base_name,fuel,name,capacity_mw,note,planned_year
Quỳnh Lập II #2,NĐ,NĐ Quỳnh Lập II #2,600,BOT,2027
Rạng Đông,NĐ,NĐ Rạng Đông,100,IPP,2025
Sêkaman 1 (Lào),TĐ,TĐ Sêkaman 1 (Lào),290,Cty Điện Việt Lào,2016
Sêkaman 4 (Lào),TĐ,TĐ Sêkaman 4 (Lào),80,Cty Điện Việt Lào,2018
Sêkaman Xanxay (Lào),TĐ,TĐ Sêkaman Xanxay (Lào),32,Cty Điện Việt Lào,2017
Sóc Trăng,Điện gió,Điện gió Sóc Trăng,99,Cty TNHH XD - TM - DL Công Lý,2019
Sơn Mỹ I #1,TBKHH,TBKHH Sơn Mỹ I #1,750,GDF SUEZ/Sojitz-Pacific (BOT),2026
Sơn Mỹ I #2,TBKHH,TBKHH Sơn Mỹ I #2,750,GDF SUEZ/Sojitz-Pacific (BOT),2027
Sơn Mỹ I #3,TBKHH,TBKHH Sơn Mỹ I #3,750,GDF SUEZ/Sojitz-Pacific (BOT),2028
Sơn Mỹ II #1,TBKHH,TBKHH Sơn Mỹ II #1,750,PVN,2023
Sơn Mỹ II #2,TBKHH,TBKHH Sơn Mỹ II #2,750,PVN,2024
Sơn Mỹ II #3,TBKHH,TBKHH Sơn Mỹ II #3,750,PVN,2025
Sông Bung 2,TĐ,TĐ Sông Bung 2,100,EVN,2016
"Sông Hậu I #1,2",NĐ,"NĐ Sông Hậu I #1,2",2x600,PVN,2019
Sông Hậu II #1,NĐ,NĐ Sông Hậu II #1,1000,Toyo Ink (BOT),2021
Sông Hậu II #2,NĐ,NĐ Sông Hậu II #2,1000,Toyo Ink (BOT),2022
Sông Lô 6,TĐ,TĐ Sông Lô 6,44,Cty TNHH Xuân Thiện Hà Giang,2018
Sông Miện 4,TĐ,TĐ Sông Miện 4,38,IPP,2018
Sông Tranh 3,TĐ,TĐ Sông Tranh 3,62,IPP,2016
Sông Tranh 4,TĐ,TĐ Sông Tranh 4,48,IPP,2016
Tân Phước I #1,NĐ,NĐ Tân Phước I #1,600,,2027
Tân Phước I #2,NĐ,NĐ Tân Phước I #2,600,,2028
Tân Phước II #1 (*),NĐ,NĐ Tân Phước II #1 (*),600,,2028
Tân Phước II #2 (*),NĐ,NĐ Tân Phước II #2 (*),600,,2029
Thác Mơ mở rộng,TĐ,TĐ Thác Mơ mở rộng,75,EVN,2017
"Thái Bình I #1,2",NĐ,"NĐ Thái Bình I #1,2",2x300,EVN,2017
Thái Bình II #1,NĐ,NĐ Thái Bình II #1,600,PVN,2017
Thái Bình II #2,NĐ,NĐ Thái Bình II #2,600,PVN,2018
Thăng Long #1,NĐ,NĐ Thăng Long #1,300,Cty CP Nhiệt điện Thăng Long,2018
Thăng Long #2,NĐ,NĐ Thăng Long #2,300,Cty CP Nhiệt điện Thăng Long,2019
Thiên Tân 1,Điện mặt trời,Điện mặt trời Thiên Tân 1,300,IPP (Ninh Thuận),2019
Thiên Tân 2,Điện mặt trời,Điện mặt trời Thiên Tân 2,400,,2020
Thiên Tân 3,Điện mặt trời,Điện mặt trời Thiên Tân 3,300,IPP (Ninh Thuận),2021
"Thượng KonTum #1,2",TĐ,"TĐ Thượng KonTum #1,2",2x110,EVN,2019
Trà Khúc 1,TĐ,TĐ Trà Khúc 1,36,IPP,2017
Trị An mở rộng,TĐ,TĐ Trị An mở rộng,200,EVN,2025
Trung - Nam,Điện gió,Điện gió Trung - Nam,90,IPP (Ninh Thuận),2019
"Trung Sơn #1,2",TĐ,"TĐ Trung Sơn #1,2",2x65,EVN,2016
"Trung Sơn #3,4",TĐ,"TĐ Trung Sơn #3,4",2x65,EVN,2017
Uông Bí ngừng phát điên,NĐ,NĐ Uông Bí ngừng phát điên,105,EVN,2021
Vân Phong I #1,NĐ,NĐ Vân Phong I #1,660,Sumitomo (BOT),2022
Vân Phong I #2,NĐ,NĐ Vân Phong I #2,660,Sumitomo (BOT),2023
Vê Đan,NĐ than,NĐ than Vê Đan,60,IPP (đồng phát),2016
"Vĩnh Tân I #1,2",NĐ,"NĐ Vĩnh Tân I #1,2",2x600,CSG - CPIH - Vinacomin (BOT),2019
Vĩnh Tân III #1,NĐ,NĐ Vĩnh Tân III #1,660,VTEC (BOT),2022
"Vĩnh Tân III #2,3",NĐ,"NĐ Vĩnh Tân III #2,3",2x660,VTEC (BOT),2023
"Vĩnh Tân IV #1,2",NĐ,"NĐ Vĩnh Tân IV #1,2",2x600,EVN,2018
Vĩnh Tân IV mở rộng,NĐ,NĐ Vĩnh Tân IV mở rộng,600,EVN,2019
Vũng Áng II #1,NĐ,NĐ Vũng Áng II #1,600,VAPCO (BOT),2021
Vũng Áng II #2,NĐ,NĐ Vũng Áng II #2,600,VAPCO (BOT),2022
Vũng Áng III #1,NĐ,NĐ Vũng Áng III #1,600,Samsung C&T (BOT),2024
Vũng Áng III #2,NĐ,NĐ Vũng Áng III #2,600,Samsung C&T (BOT),2025
Vũng Áng III #3 (*),NĐ,NĐ Vũng Áng III #3 (*),600,,2029
Vũng Áng III #4 (*),NĐ,NĐ Vũng Áng III #4 (*),600,,2030
Yên Sơn,TĐ,TĐ Yên Sơn,70,Cty Cổ phần Tập đoàn XD & DL Bình Minh,2017
