std_name,base_name,std_fuel,capacity_mw,planned_year
Song Hau 2,Sông Hậu II #2,Coal,1000,2022
Song Lo 6,Sông Lô 6,Hydro,44,2018
Song Mien 4,Sông Miện 4,Hydro,38,2018
Song Tranh 3,Sông Tranh 3,Hydro,62,2016
Song Tranh 4,Sông Tranh 4,Hydro,48,2016
Tan Phuoc 1,Tân Phước I #1,Coal,600,2027
Tan Phuoc 1,Tân Phước I #2,Coal,600,2028
Tan Phuoc 2,Tân Phước II #1 (*),Coal,600,2028
Tan Phuoc 2,Tân Phước II #2 (*),Coal,600,2029
Thac Mo Extension,Thác Mơ mở rộng,Hydro,75,2017
Thai Binh 1,"Thái Bình I #1,2",Coal,600,2017
Thai Binh 2,Thái Bình II #1,Coal,600,2017
Thai Binh 2,Thái Bình II #2,Coal,600,2018
Thang Long,Thăng Long #1,Coal,300,2018
Thang Long,Thăng Long #2,Coal,300,2019
Thien Tan 1,Thiên Tân 1,Solar,300,2019
Thien Tan 2,Thiên Tân 2,Solar,400,2020
Thien Tan 3,Thiên Tân 3,Solar,300,2021
Thuong KonTum,"Thượng KonTum #1,2",Hydro,220,2019
Tra Khuc 1,Trà Khúc 1,Hydro,36,2017
Tri An Extension,Trị An mở rộng,Hydro,200,2025
Trung - Nam,Trung - Nam,Wind,90,2019
Trung Son,"Trung Sơn #1,2",Hydro,130,2016
Trung Son,"Trung Sơn #3,4",Hydro,130,2017
Uong Bi,Uông Bí ngừng phát điên,Coal,105,2021
Van Phong 1,Vân Phong I #1,Coal,660,2022
Van Phong 1,Vân Phong I #2,Coal,660,2023
Ve Dan,Vê Đan,Coal,60,2016
Vinh Tan 1,"Vĩnh Tân I #1,2",Coal,1200,2019
Vinh Tan 3,Vĩnh Tân III #1,Coal,660,2022
Vinh Tan 3,"Vĩnh Tân III #2,3",Coal,1320,2023
Vinh Tan 4,"Vĩnh Tân IV #1,2",Coal,1200,2018
Vinh Tan 4 Extension,Vĩnh Tân IV mở rộng,Coal,600,2019
Vung Ang 2,Vũng Áng II #1,Coal,600,2021
Vung Ang 2,Vũng Áng II #2,Coal,600,2022
Vung Ang 3,Vũng Áng III #1,Coal,600,2024
Vung Ang 3,Vũng Áng III #2,Coal,600,2025
Vung Ang 3,Vũng Áng III #3 (*),Coal,600,2029
Vung Ang 3,Vũng Áng III #4 (*),Coal,600,2030
Yen Son,Yên Sơn,Hydro,70,2017
